module	year	julian_day
AMDSAAUD	1985	211
AMDSABUF	1978	348
AMDSACON	1985	211
AMDSACSA	1978	348
AMDSADER	1978	348
AMDSAFRM	1978	348
AMDSAGTF	1978	348
AMDSAGTM	1978	348
AMDSAIOI	1985	211
AMDSALDR	1978	348
AMDSAMDM	1978	348
AMDSAMSG	1978	348
AMDSAPGE	1978	348
AMDSAPGI	1978	348
AMDSAPRO	1985	211
AMDSARSM	1978	348
AMDSASIN	1978	348
AMDSASIO	1985	211
AMDSASVI	1978	348
AMDSATER	1985	211
AMDSATXT	1978	348
AMDSAUCB	1984	028
AMDSAUPD	1978	348
AMDSAVCK	1978	348
AMDSAWAT	1978	348
AMDSYS00	1978	226
AMDSYS02	1982	050
AMDSYS04	1982	050
AMDSYS05	1982	050
AMDSYS06	1982	050
AMDUSRF9	1979	075
AMDUSRFD	1980	164
AMDUSRFE	1979	075
BLSCAAMS	1978	348
BLSCABLD	1980	225
BLSCADST	1978	348
BLSCADYN	1980	017
BLSCAINT	1980	017
BLSCALOC	1980	017
BLSCAMER	1978	348
BLSCAMIN	1978	348
BLSCAMOD	1980	017
BLSCAMPR	1978	348
BLSCANAL	1978	348
BLSCANLE	1980	017
BLSCANLI	1978	348
BLSCENDD	1978	348
BLSCERSE	1978	348
BLSCFAMS	1978	348
BLSCFDYN	1980	017
BLSCFREE	1978	348
BLSCGETT	1980	017
BLSCGMF	1978	348
BLSCHOK	1978	348
BLSCOPEN	1980	017
BLSCPOIN	1978	348
BLSCPUTT	1978	348
BLSCRECV	1978	348
BLSCRFM	1978	348
BLSCRQST	1978	348
BLSCRTCB	1978	348
BLSCSETT	1978	348
BLSCVALT	1978	348
BLSDADSD	1980	017
BLSDAPDR	1980	017
BLSDC070	1978	348
BLSDC128	1978	348
BLSDC600	1978	348
BLSDDT00	1978	348
BLSDENQP	1978	348
BLSDFDSD	1978	348
BLSDFPDR	1978	348
BLSDMSG0	1978	348
BLSDMSGS	1981	021
BLSDPC00	1978	348
BLSDSTAE	1978	348
BLSDSV00	1978	348
BLSDTIME	1978	348
BLSDTM00	1978	348
BLSDWAIT	1978	348
BLSEADP1	1980	017
BLSEAUTH	1978	348
BLSEDEL0	1978	348
BLSEDEL1	1978	348
BLSEDELC	1978	348
BLSELPCC	1978	348
BLSELPCL	1978	348
BLSELPDR	1980	017
BLSELPDS	1978	348
BLSELPFM	1978	348
BLSELPFR	1978	348
BLSELPOP	1978	348
BLSEMDP1	1978	348
BLSFAV00	1978	348
BLSFBP00	1978	348
BLSFCLOS	1978	348
BLSFCN00	1978	348
BLSFCONF	1978	348
BLSFDALL	1978	348
BLSFDD00	1978	348
BLSFDDDP	1978	348
BLSFDEL	1978	348
BLSFDERS	1978	348
BLSFDF00	1978	348
BLSFDS00	1978	348
BLSFERAS	1978	348
BLSFFL00	1978	348
BLSFFP00	1978	348
BLSFGD00	1978	348
BLSFGG00	1978	348
BLSFGP00	1978	348
BLSFLALL	1978	348
BLSFLONE	1978	348
BLSFLP00	1978	348
BLSFND00	1978	348
BLSFND01	1978	348
BLSFOD00	1978	348
BLSFOPEN	1978	348
BLSFPARS	1978	348
BLSFPERA	1978	348
BLSFPERS	1978	348
BLSFPS00	1978	348
BLSFSCRT	1980	017
BLSFSD00	1978	348
BLSFSL00	1978	348
BLSFTL00	1978	348
BLSFUD00	1978	348
BLSFUP00	1978	348
BLSFVRFY	1978	348
BLSRACC	1978	348
BLSRACCL	1978	348
BLSRACCQ	1978	348
BLSRADD1	1980	164
BLSRADD2	1978	348
BLSRADD3	1980	164
BLSRADD4	1980	164
BLSRADDP	1978	348
BLSRADDR	1978	348
BLSRADDS	1978	348
BLSRADDT	1978	348
BLSRADDU	1978	348
BLSRASCX	1978	348
BLSRASM7	1978	348
BLSRCOCL	1980	017
BLSRCOHD	1980	017
BLSRCOIN	1980	017
BLSRCOMK	1980	225
BLSRCOPY	1980	017
BLSRCOTA	1980	017
BLSRDUAL	1980	017
BLSRDUCC	1978	348
BLSRDUCK	1978	348
BLSRDUCL	1978	348
BLSRDUIH	1980	164
BLSRDUIN	1984	028
BLSRDUIS	1981	233
BLSRDUOP	1982	258
BLSRDUSC	1980	017
BLSRESGE	1980	164
BLSRESGQ	1978	348
BLSRESGU	1978	348
BLSRESSA	1980	017
BLSRFMOD	1978	348
BLSRFUCB	1978	348
BLSRIOSK	1980	017
BLSRMSGA	1980	164
BLSRMSGD	1978	348
BLSRPADS	1978	348
BLSRRACR	1980	225
BLSRRACV	1980	164
BLSRSAG	1978	348
BLSRSAGE	1978	348
BLSRSAGN	1980	164
BLSRSAGQ	1978	348
BLSRSAGU	1978	348
BLSRSAPC	1978	348
BLSRST00	1982	050
BLSRSURB	1980	225
BLSRSUTC	1984	028
BLSRSYRB	1978	348
BLSRVECT	1980	017
BLSRVPAD	1978	348
BLSRVPAS	1980	225
BLSRVPCP	1980	017
BLSRVPTC	1980	017
BLSRVPVS	1978	348
BLSSCOMM	1981	233
BLSSCVT2	1980	017
BLSSPCCA	1980	164
BLSSPFT	1980	164
BLSSPRIV	1981	233
BLSSUCB	1980	164
BLST01	1978	348
BLST02	1978	348
BLST04	1978	348
BLST04A	1978	348
BLST04BS	1978	348
BLST04CV	1978	348
BLST05	1978	348
BLST06	1978	348
BLST08	1978	348
BLSTB	1978	348
BLSTB4	1978	348
BLSTB5	1978	348
BLSTC	1978	348
BLSTF	1978	348
BLSTM	1978	348
BLSTM4	1978	348
BLSTM5	1978	348
BLSTU	1978	348
BLSTU4	1978	348
BLSTU5	1978	348
BLSTY	1978	348
BLSUALLO	1978	348
BLSUBLDD	1978	348
BLSUBLDL	1978	348
BLSUDYNA	1978	348
BLSUGWDM	1980	017
BLSUINI2	1980	017
BLSUIT01	1978	348
BLSUIT02	1978	348
BLSUIT03	1978	348
BLSUMON2	1978	348
BLSUMONC	1978	348
BLSUMOND	1978	348
BLSUMONL	1980	017
BLSUMONT	1978	348
BLSUMONX	1978	348
BLSUMPK1	1978	348
BLSUMPKN	1978	348
BLSUMTOD	1981	233
BLSUPARI	1978	348
BLSUPARU	1978	348
BLSUPGMC	1978	348
BLSUPGMD	1978	348
BLSUPGML	1978	348
BLSUPGMR	1978	348
BLSUPRCL	1978	348
BLSUPROP	1978	348
BLSUPRTA	1978	348
BLSUPRTN	1978	348
BLSUPRTT	1978	348
BLSUPUTA	1978	348
BLSUPUTN	1978	348
BLSUPUTT	1978	348
BLSUPUTV	1978	348
BLSUSTAI	1978	348
BLSUTRMA	1978	348
BLSUTRMN	1978	348
BLSUTSO	1980	017
BLSUVP21	1978	348
BLSUVP31	1980	017
BLSUVP32	1978	348
BLSUVP99	1978	348
BLSUVPVA	1978	348
BLSUVSCL	1978	348
BLSUVSCR	1978	348
BLSUVSEN	1978	348
BLSUVSER	1978	348
BLSUVSGE	1978	348
BLSUVSGU	1978	348
BLSUVSMR	1978	348
BLSUVSOP	1978	348
BLSUVSOQ	1978	348
BLSUVSPO	1978	348
BLSUVSPU	1978	348
BLSUZZ2C	1978	348
BLSUZZ2D	1978	348
BLSUZZ2R	1978	348
BLSVASCB	1978	348
BLSVASVT	1978	348
BLSVASXB	1978	348
BLSVCDE	1978	348
BLSVCVT2	1980	017
BLSVIOC	1978	348
BLSVIOX	1978	348
BLSVLCCV	1978	348
BLSVLPDE	1978	348
BLSVPCCV	1978	348
BLSVPGTE	1980	225
BLSVQCBA	1978	348
BLSVQCBB	1978	348
BLSVQEL	1978	348
BLSVRB	1978	348
BLSVSGTE	1980	225
BLSVUCB	1978	348
BLSVXTLS	1978	348
BNGILOCL	1979	198
BNGIMENU	1979	072
BNGIPCBX	1978	348
BNGIREAD	1979	072
BNGIRMOT	1979	198
BNGISIMS	1982	050
BNGTLOCL	1978	348
BNGTMENU	1978	348
BNGTQEMA	1979	198
BNGTQEMF	1979	072
BNGTRMOT	1978	348
ESRTABLE	1980	247
FCB3STD3	1978	349
GENRMT	1978	310
GRAF	1978	349
HEWLDIDY	1978	349
HEWLDLIB	1984	028
HEWLDREL	1978	349
HEWLFADA	1985	036
HEWLFAPT	1984	028
HEWLFEND	1984	028
HEWLFENS	1984	028
HEWLFENT	1984	028
HEWLFESD	1984	028
HEWLFFNL	1984	028
HEWLFIDR	1984	028
HEWLFINC	1984	028
HEWLFINP	1984	028
HEWLFINT	1985	326
HEWLFMAP	1984	028
HEWLFOPT	1985	326
HEWLFOUT	1984	028
HEWLFRAT	1985	165
HEWLFRCG	1984	028
HEWLFREL	1984	028
HEWLFROU	1984	028
HEWLFSCD	1984	028
HEWLFSYM	1984	028
HMASMAAR	1981	234
HMASMADD	1979	080
HMASMAR1	1985	206
HMASMAR2	1982	258
HMASMAR3	1985	206
HMASMAR4	1981	234
HMASMARL	1978	339
HMASMASM	1978	339
HMASMBUE	1981	234
HMASMBUR	1985	205
HMASMCIL	1978	339
HMASMCMP	1981	021
HMASMCOM	1981	234
HMASMCP2	1979	198
HMASMCPL	1986	290
HMASMCPY	1980	225
HMASMCRD	1981	234
HMASMCRW	1985	206
HMASMDC1	1985	206
HMASMDC2	1987	125
HMASMDLE	1985	206
HMASMDR1	1979	198
HMASMDR2	1980	225
HMASMDS1	1981	021
HMASMEFR	1981	234
HMASMEIS	1981	234
HMASMFPT	1979	330
HMASMFVL	1979	330
HMASMFXF	1978	339
HMASMGTA	1985	206
HMASMIDU	1985	206
HMASMIO1	1980	225
HMASMLC1	1980	164
HMASMLCC	1985	206
HMASMLCD	1982	258
HMASMLCP	1980	012
HMASMLID	1985	206
HMASMLKD	1985	206
HMASMLOG	1981	234
HMASMMDR	1985	206
HMASMMPA	1985	206
HMASMMPD	1985	206
HMASMMPE	1982	258
HMASMMPH	1985	206
HMASMMPI	1979	080
HMASMMPL	1985	206
HMASMMPV	1979	080
HMASMMSG	1981	234
HMASMPGC	1985	206
HMASMPIN	1981	234
HMASMRCC	1980	164
HMASMRCD	1985	206
HMASMRCF	1985	206
HMASMRCL	1981	234
HMASMRDS	1978	339
HMASMREC	1986	290
HMASMREJ	1981	021
HMASMRJD	1981	021
HMASMSCN	1979	080
HMASMSEC	1980	012
HMASMSER	1982	258
HMASMSTA	1981	021
HMASMSUB	1980	164
HMASMSUP	1987	125
HMASMTAD	1982	258
HMASMTAI	1985	206
HMASMTBL	1982	258
HMASMTBM	1978	339
HMASMTCL	1985	206
HMASMTCR	1981	021
HMASMTD1	1981	021
HMASMTDD	1985	206
HMASMTEC	1979	330
HMASMTID	1978	339
HMASMTL1	1979	330
HMASMTL2	1985	206
HMASMTL3	1978	339
HMASMTM1	1985	206
HMASMTM2	1981	021
HMASMTM3	1981	021
HMASMTM4	1985	205
HMASMTMD	1985	205
HMASMTMJ	1981	021
HMASMTMS	1986	065
HMASMTMW	1981	234
HMASMTP2	1981	021
HMASMTPA	1987	125
HMASMTPC	1978	339
HMASMTPD	1981	234
HMASMTPL	1985	206
HMASMTPO	1985	206
HMASMTPR	1985	206
HMASMTPS	1982	258
HMASMTR1	1979	198
HMASMTRM	1985	206
HMASMTSB	1981	021
HMASMUC1	1985	206
HMASMUC2	1981	021
HMASMUC3	1985	206
HMASMUC4	1981	234
HMASMUCD	1978	339
HMASMULI	1981	234
HMASMULK	1980	225
HMASMUPD	1981	021
HMASMUXC	1981	234
HMASMUXD	1978	339
HMASMVLU	1978	339
HMASMXRF	1979	080
HMASMZAP	1980	225
HMBLKMSG	1978	349
IAPABNAP	1978	348
IAPBLDIO	1978	348
IAPPFXAP	1978	348
IAPTIMER	1978	348
IASFCB26	1984	028
IASFCB28	1984	028
IASXSD81	1986	171
IASXWR00	1984	028
ICB2ACT	1981	233
ICB2AEA	1978	349
ICB2AIR	1982	264
ICB2ATTN	1979	198
ICB2MSG	1984	028
ICB2SIOB	1979	053
ICB2SIOF	1984	028
ICBINIT	1978	349
ICBIORSI	1979	074
ICBME	1978	349
ICBMSG05	1984	028
ICBMSG56	1984	028
ICBPRGIO	1979	053
ICBTMSS0	1984	028
ICBVCR00	1984	028
ICBVDM00	1984	028
ICBVDR00	1978	349
ICBVDR01	1984	028
ICBVEX00	1978	349
ICBVIN00	1984	028
ICBVIN02	1982	264
ICBVIO00	1978	349
ICBVJL00	1984	028
ICBVMG00	1984	028
ICBVMS00	1982	050
ICBVMT00	1984	028
ICBVPI00	1978	349
ICBVPR00	1984	028
ICBVQM00	1984	028
ICBVRR00	1984	028
ICBVSC00	1984	028
ICBVSL00	1984	028
ICBVSP00	1981	021
ICBVTM00	1978	349
ICBVTP00	1984	028
ICBVTP01	1984	028
ICBVUP00	1978	349
ICBVUP01	1978	349
ICBVUT00	1984	028
ICBVUT01	1984	028
ICBVUT03	1982	050
ICFBDX00	1978	348
ICFBIX00	1978	348
ICGDSA01	1978	349
ICGDSA02	1978	349
ICGDSA04	1978	349
ICGDSA05	1984	028
ICGDSA06	1979	330
ICGDSA07	1980	164
ICGDSA08	1978	349
ICGDSA09	1980	017
ICGDSANL	1978	349
ICGDSB01	1984	028
ICGDSB03	1984	028
ICGDSB05	1984	028
ICGDSB06	1984	028
ICGDSB09	1980	164
ICGDSB11	1980	017
ICGDSB12	1980	017
ICGDSB13	1980	017
ICGDSB15	1984	028
ICGDSB16	1980	017
ICGDSB18	1980	164
ICGDSB19	1984	028
ICGDSB20	1984	028
ICGDSBLD	1984	028
ICGDSINT	1984	028
ICGDSMSG	1978	349
ICGDSS01	1978	349
ICGDSS02	1978	349
ICGDSS04	1978	349
ICGDSS05	1978	349
ICGDSS06	1980	164
ICGDSS08	1984	028
ICGDSS09	1984	028
ICGDSS99	1978	349
ICGDSSCN	1984	028
ICGTRDST	1982	264
ICGTRINT	1984	028
ICGTRSUM	1978	349
ICGTRVID	1978	349
ICKAA01	1982	118
ICKAN01	1984	028
ICKAN02	1982	118
ICKAN03	1982	118
ICKBI01	1984	028
ICKBM01	1982	118
ICKCDAN	1982	118
ICKCDBI	1982	118
ICKCDIN	1982	118
ICKCDIT	1982	118
ICKCDRF	1982	118
ICKCDTR	1982	118
ICKCL01	1978	348
ICKCV01	1978	348
ICKDV00	1984	028
ICKDV01	1984	028
ICKDV02	1984	028
ICKDV03	1984	028
ICKDV04	1984	028
ICKDV13	1982	118
ICKEX01	1982	118
ICKEX02	1978	348
ICKEX03	1978	348
ICKIN01	1984	028
ICKIN02	1984	028
ICKIO01	1982	118
ICKIO02	1982	118
ICKIT01	1984	028
ICKPP01	1984	028
ICKRA01	1978	348
ICKRD01	1978	348
ICKRF01	1982	118
ICKRI01	1984	028
ICKRI02	1982	118
ICKRI03	1978	348
ICKRIKT	1982	118
ICKRILT	1982	118
ICKRL01	1978	348
ICKRP01	1982	118
ICKRT01	1978	348
ICKSA01	1982	132
ICKSA02	1982	118
ICKSA03	1982	118
ICKSA04	1982	118
ICKSA05	1982	118
ICKSA08	1982	118
ICKSA10	1982	118
ICKSD01	1982	118
ICKSD02	1984	028
ICKTA01	1982	118
ICKTP04	1978	348
ICKTP05	1982	118
ICKTR01	1982	118
ICKTR02	1982	118
ICKTSAN0	1982	118
ICKTSBI0	1982	118
ICKTSCC0	1982	118
ICKTSDV0	1982	118
ICKTSEF0	1982	118
ICKTSEF1	1984	028
ICKTSEX0	1982	118
ICKTSIO0	1982	118
ICKTSRI0	1984	028
ICKTSSA0	1982	118
ICKTSTP0	1978	348
ICKTSTP1	1982	118
ICKTSUV0	1982	118
ICKUSER1	1982	118
ICKVA01	1982	118
ICKVD01	1978	348
ICKVLBL	1982	118
ICKVP01	1978	348
ICKVV01	1982	118
ICKWI01	1984	028
ICKWL01	1982	118
ICKWV01	1984	028
IDA0192A	1984	028
IDA0192B	1984	028
IDA0192C	1984	028
IDA0192D	1982	258
IDA0192F	1984	028
IDA0192G	1978	349
IDA0192I	1979	198
IDA0192M	1984	028
IDA0192P	1982	258
IDA0192S	1980	017
IDA0192V	1984	028
IDA0192W	1978	349
IDA0192Y	1984	028
IDA0192Z	1984	028
IDA0195A	1978	349
IDA019R1	1985	137
IDA019R2	1985	052
IDA019R4	1984	028
IDA019R5	1984	028
IDA019R8	1985	021
IDA019RA	1984	028
IDA019RB	1978	348
IDA019RC	1978	348
IDA019RD	1979	075
IDA019RE	1984	028
IDA019RF	1985	060
IDA019RG	1984	028
IDA019RH	1981	234
IDA019RI	1984	028
IDA019RJ	1984	028
IDA019RK	1984	028
IDA019RL	1984	028
IDA019RM	1984	028
IDA019RN	1984	028
IDA019RO	1984	028
IDA019RP	1984	028
IDA019RQ	1985	308
IDA019RR	1985	227
IDA019RS	1984	028
IDA019RT	1978	348
IDA019RU	1984	028
IDA019RV	1978	348
IDA019RW	1981	021
IDA019RX	1985	170
IDA019RY	1985	301
IDA019RZ	1985	247
IDA019S1	1984	028
IDA019S2	1984	028
IDA019S4	1984	028
IDA019S6	1984	028
IDA019SA	1982	258
IDA019SB	1981	234
IDA019SE	1984	028
IDA019SF	1984	028
IDA019SG	1981	021
IDA019SH	1981	021
IDA019SL	1981	234
IDA019SM	1981	021
IDA019SN	1978	349
IDA019SU	1985	072
IDA0200B	1986	085
IDA0200S	1984	028
IDA0200T	1985	218
IDA0231B	1981	021
IDA0231T	1985	112
IDA0557A	1984	028
IDA0A05B	1985	120
IDA0C05B	1978	348
IDA0C06C	1984	028
IDA0I96C	1981	234
IDA121A3	1984	028
IDA121A5	1982	258
IDA121A6	1980	247
IDA121CV	1984	028
IDACAT11	1984	028
IDACAT12	1981	021
IDACAT13	1981	234
IDACAT21	1981	234
IDACKRA1	1978	348
IDAICIA1	1980	247
IDAIIFBF	1978	348
IDAIIPM1	1979	330
IDAIIPM2	1978	348
IDAIIPM3	1984	028
IDAIISM1	1980	247
IDAM19R3	1985	224
IDAOCEA1	1984	028
IDAOCEA2	1984	028
IDAOCEA3	1978	348
IDAOCEA4	1978	348
IDAVBPC1	1984	028
IDAVBPJ1	1978	348
IDAVBPJ2	1978	348
IDAVBPO1	1980	017
IDAVBPP1	1984	028
IDAVBPR2	1978	348
IDAVBPS1	1978	348
IDAVBPS2	1978	348
IDCAL01	1984	028
IDCAM01	1978	339
IDCAM02	1978	339
IDCAU01	1978	349
IDCAU02	1978	349
IDCAU03	1981	021
IDCAV01	1978	349
IDCBI01	1984	028
IDCCC01	1984	028
IDCCDAL	1978	348
IDCCDAU	1978	349
IDCCDAV	1978	349
IDCCDBI	1978	348
IDCCDCC	1978	348
IDCCDCH	1981	021
IDCCDCK	1978	349
IDCCDCN	1978	349
IDCCDCO	1978	349
IDCCDCP	1978	349
IDCCDCT	1978	349
IDCCDCV	1978	349
IDCCDDE	1978	348
IDCCDDL	1978	348
IDCCDDU	1981	233
IDCCDEC	1978	349
IDCCDEV	1978	349
IDCCDGR	1978	349
IDCCDLC	1978	348
IDCCDLD	1984	028
IDCCDLM	1978	349
IDCCDLR	1978	348
IDCCDLV	1978	349
IDCCDMC	1978	349
IDCCDMG	1984	028
IDCCDMP	1978	348
IDCCDMV	1984	028
IDCCDNC	1981	233
IDCCDPM	1978	348
IDCCDPR	1978	348
IDCCDRC	1978	348
IDCCDRD	1978	349
IDCCDRL	1978	349
IDCCDRM	1978	348
IDCCDRP	1982	089
IDCCDRR	1978	349
IDCCDRS	1978	349
IDCCDRV	1978	349
IDCCDSD	1984	028
IDCCDSG	1978	349
IDCCDSR	1978	349
IDCCDST	1978	349
IDCCDSV	1978	349
IDCCDTR	1978	349
IDCCDTU	1980	247
IDCCDVY	1978	348
IDCCDXP	1978	348
IDCCH01	1984	028
IDCCH02	1982	264
IDCCH03	1981	021
IDCCH04	1984	028
IDCCK01	1978	349
IDCCN01	1980	164
IDCCO01	1984	028
IDCCP01	1978	349
IDCCT01	1978	349
IDCCV01	1980	247
IDCDB01	1978	348
IDCDE01	1982	258
IDCDE02	1985	099
IDCDE03	1984	028
IDCDL01	1984	028
IDCDU01	1984	028
IDCEC01	1978	349
IDCEV01	1978	349
IDCEX01	1978	348
IDCEX02	1978	348
IDCEX03	1981	021
IDCGR01	1978	349
IDCIO01	1984	028
IDCIO02	1984	028
IDCIO03	1978	348
IDCIO04	1978	348
IDCIO05	1981	021
IDCLC01	1984	028
IDCLC02	1984	028
IDCLD01	1984	028
IDCLM01	1980	164
IDCLR01	1981	021
IDCLR02	1978	348
IDCLV01	1984	028
IDCMC01	1978	349
IDCMG01	1984	028
IDCMP01	1984	028
IDCMV01	1984	028
IDCNC01	1981	233
IDCPM01	1982	089
IDCPR01	1984	028
IDCRC01	1984	028
IDCRC02	1984	028
IDCRC03	1978	348
IDCRD01	1978	349
IDCRD02	1978	349
IDCRD03	1984	028
IDCRD04	1981	233
IDCRD05	1980	164
IDCRD06	1984	028
IDCRD07	1982	264
IDCRI01	1984	028
IDCRI02	1978	348
IDCRI03	1978	348
IDCRI04	1984	028
IDCRIFF	1978	348
IDCRIKT	1978	348
IDCRILT	1978	348
IDCRIMT	1978	349
IDCRL01	1978	349
IDCRM01	1982	089
IDCRP01	1986	037
IDCRR01	1979	053
IDCRS01	1984	028
IDCRS02	1984	028
IDCRS03	1984	028
IDCRS04	1984	028
IDCRS05	1984	028
IDCRS06	1984	028
IDCRS07	1984	028
IDCRV01	1981	021
IDCSA01	1981	021
IDCSA02	1984	028
IDCSA03	1978	348
IDCSA05	1978	348
IDCSA06	1978	349
IDCSA07	1984	028
IDCSA08	1984	028
IDCSA09	1984	028
IDCSA10	1978	349
IDCSD01	1984	028
IDCSG01	1978	349
IDCSR01	1978	349
IDCST01	1978	349
IDCSV01	1981	233
IDCTP01	1984	028
IDCTP04	1978	348
IDCTP05	1978	348
IDCTP06	1979	330
IDCTR01	1979	198
IDCTSAL0	1978	348
IDCTSAU0	1978	349
IDCTSAV0	1978	349
IDCTSBI0	1978	348
IDCTSCC0	1978	348
IDCTSCH0	1981	021
IDCTSCK0	1979	075
IDCTSCM0	1984	028
IDCTSCN0	1978	349
IDCTSCO0	1981	233
IDCTSCP0	1978	349
IDCTSCT0	1978	349
IDCTSCV0	1978	349
IDCTSDE0	1980	017
IDCTSDL0	1982	258
IDCTSDU0	1981	233
IDCTSEC0	1978	349
IDCTSEV0	1978	349
IDCTSEX0	1978	348
IDCTSIO0	1978	348
IDCTSIO5	1978	349
IDCTSLC0	1980	017
IDCTSLC1	1984	028
IDCTSLD0	1984	028
IDCTSLM0	1978	349
IDCTSLR0	1978	348
IDCTSLR1	1978	348
IDCTSLV0	1984	028
IDCTSMC0	1978	349
IDCTSMG0	1978	349
IDCTSMP0	1978	348
IDCTSMV0	1978	349
IDCTSNC0	1978	349
IDCTSPR0	1986	037
IDCTSRC0	1978	348
IDCTSRD0	1984	028
IDCTSRI0	1978	348
IDCTSRI1	1978	348
IDCTSRL0	1978	349
IDCTSRR0	1978	349
IDCTSRS0	1978	348
IDCTSRV0	1978	349
IDCTSSA0	1979	075
IDCTSSA6	1978	349
IDCTSSA7	1978	349
IDCTSSD0	1978	349
IDCTSSR0	1978	349
IDCTSSS0	1980	247
IDCTSST0	1978	349
IDCTSSV0	1978	349
IDCTSTP0	1978	348
IDCTSTP1	1978	348
IDCTSTP6	1984	028
IDCTSTR0	1978	349
IDCTSTU0	1980	247
IDCTSUV0	1978	348
IDCTSVS0	1984	028
IDCTSXP0	1978	348
IDCTU01	1980	247
IDCVS01	1984	028
IDCVS02	1978	349
IDCVS03	1984	028
IDCVY01	1978	348
IDCXP01	1984	028
IDDWIAPP	1984	028
IDDWICLS	1984	028
IDDWICPI	1984	028
IDDWIJRN	1984	028
IDDWIMRG	1978	349
IDDWITRM	1984	028
IEAFTEED	1979	198
IEAFTIHS	1979	198
IEAFTRT2	1980	247
IEAFTSCB	1979	198
IEAQWAIT	1978	348
IEASMFEX	1982	050
IEATLEXT	1978	348
IEAVAD00	1982	259
IEAVAD01	1985	211
IEAVAD02	1978	333
IEAVAD03	1980	247
IEAVAD05	1978	348
IEAVAD06	1978	348
IEAVAD07	1985	211
IEAVAD08	1985	211
IEAVAD09	1978	348
IEAVAD0A	1980	017
IEAVAD0B	1978	348
IEAVAD0C	1978	348
IEAVAD0D	1985	211
IEAVAD0E	1979	330
IEAVAD0F	1985	211
IEAVAD10	1978	348
IEAVAD11	1989	068
IEAVAD31	1982	050
IEAVAD51	1985	211
IEAVAD71	1978	348
IEAVADFM	1978	348
IEAVADUS	1978	348
IEAVAR00	1980	164
IEAVAR01	1985	211
IEAVAR02	1981	234
IEAVAR03	1978	348
IEAVAR04	1978	348
IEAVAR05	1989	181
IEAVAR06	1980	017
IEAVAR07	1978	348
IEAVAX00	1982	050
IEAVBLDP	1978	348
IEAVCARR	1978	348
IEAVCKEY	1978	348
IEAVCKRR	1978	348
IEAVDELP	1978	348
IEAVDSEG	1978	348
IEAVEAC0	1982	258
IEAVECBV	1978	348
IEAVECH0	1978	348
IEAVEDR	1981	235
IEAVEDSR	1978	348
IEAVEE1R	1978	348
IEAVEE2R	1978	348
IEAVEE3R	1978	348
IEAVEED0	1978	348
IEAVEEE0	1978	254
IEAVEEE2	1978	348
IEAVEEEP	1978	348
IEAVEEER	1978	348
IEAVEES	1984	028
IEAVEEXP	1978	348
IEAVEEXT	1979	198
IEAVEF00	1978	348
IEAVEIO	1980	164
IEAVEIOR	1978	348
IEAVEIPR	1981	234
IEAVELCR	1978	348
IEAVELIT	1978	348
IEAVELKR	1978	348
IEAVEMCR	1978	348
IEAVEMDL	1978	348
IEAVEMIN	1978	243
IEAVEMRQ	1978	243
IEAVEMS0	1978	348
IEAVEOR	1979	330
IEAVEPC	1981	235
IEAVEPCR	1978	348
IEAVEPD0	1978	348
IEAVEPDR	1978	348
IEAVERER	1978	348
IEAVERI	1981	021
IEAVERP	1981	021
IEAVESCR	1978	348
